file,has_player,has_enemy,solvable,wall_ratio,interior_wall_density,walkable_cells,reachable_ratio,shortest_path_length,path_norm,dead_end_ratio,branching_ratio,leniency,astar_difficulty,difficulty_score,score_tier,range_tier,percentile_tier
pcgnn_000.txt,True,True,True,0.3163265306122449,0.3194444444444444,134,1.0,27,0.9642857142857143,0.04477611940298507,0.5,1.0,0.7910447761194029,0.5600098994821808,medium,unclassified,hard
pcgnn_001.txt,True,True,True,0.34183673469387754,0.3333333333333333,129,0.8449612403100775,25,0.8928571428571429,0.09302325581395349,0.4496124031007752,0.9230769230769231,0.6434108527131783,0.5301672994779307,medium,unclassified,hard
pcgnn_002.txt,True,True,True,0.14795918367346939,0.18055555555555555,167,1.0,26,0.9285714285714286,0.0,0.7964071856287425,1.0,0.8383233532934131,0.4951362580960528,medium,unclassified,easy
pcgnn_003.txt,True,True,True,0.32653061224489793,0.3680555555555556,132,1.0,26,0.9285714285714286,0.05303030303030303,0.3939393939393939,0.9629629629629629,0.7954545454545454,0.5528834260977118,medium,unclassified,hard
pcgnn_004.txt,True,True,True,0.37244897959183676,0.3958333333333333,123,1.0,40,1.4285714285714286,0.08130081300813008,0.37398373983739835,0.9512195121951219,0.6666666666666666,0.577994856479177,medium,unclassified,hard
pcgnn_005.txt,True,True,True,0.30612244897959184,0.3472222222222222,136,0.9779411764705882,30,1.0714285714285714,0.03676470588235294,0.4411764705882353,0.967741935483871,0.75,0.561689675870348,medium,unclassified,hard
pcgnn_006.txt,True,True,True,0.2755102040816326,0.2847222222222222,142,0.9859154929577465,26,0.9285714285714286,0.04929577464788732,0.5915492957746479,0.9259259259259259,0.795774647887324,0.5368784133371658,medium,unclassified,hard
pcgnn_007.txt,True,True,True,0.39285714285714285,0.3958333333333333,119,0.8991596638655462,30,1.0714285714285714,0.1092436974789916,0.2773109243697479,0.967741935483871,0.6386554621848739,0.5855042016806722,medium,unclassified,hard
pcgnn_008.txt,True,True,True,0.3622448979591837,0.4375,125,1.0,51,1.8214285714285714,0.04,0.28,0.9807692307692307,0.584,0.5542734693877551,medium,unclassified,hard
pcgnn_009.txt,True,True,True,0.29591836734693877,0.3055555555555556,138,0.9855072463768116,26,0.9285714285714286,0.050724637681159424,0.5579710144927537,1.0,0.7898550724637681,0.5423986986098788,medium,unclassified,hard
pcgnn_010.txt,True,True,True,0.3010204081632653,0.3194444444444444,137,1.0,27,0.9642857142857143,0.06569343065693431,0.5036496350364964,0.9285714285714286,0.7956204379562044,0.560287874273797,medium,unclassified,hard
pcgnn_011.txt,True,True,True,0.2755102040816326,0.2916666666666667,142,0.9859154929577465,28,1.0,0.035211267605633804,0.6056338028169014,1.0,0.7816901408450704,0.5569488358723771,medium,unclassified,hard
pcgnn_012.txt,True,True,True,0.3622448979591837,0.3958333333333333,125,0.896,26,0.9285714285714286,0.104,0.336,0.9259259259259259,0.68,0.5564734693877551,medium,unclassified,hard
pcgnn_013.txt,True,True,True,0.23979591836734693,0.2986111111111111,149,1.0,26,0.9285714285714286,0.006711409395973154,0.6040268456375839,1.0,0.8187919463087249,0.5210998493357074,medium,unclassified,hard
pcgnn_014.txt,True,True,True,0.3673469387755102,0.3888888888888889,124,0.9354838709677419,37,1.3214285714285714,0.08064516129032258,0.31451612903225806,0.9473684210526315,0.6290322580645161,0.570687952600395,medium,unclassified,hard
pcgnn_015.txt,True,True,True,0.3979591836734694,0.4027777777777778,118,0.9067796610169492,45,1.6071428571428572,0.11016949152542373,0.3135593220338983,0.9565217391304348,0.5169491525423728,0.5689640262884814,medium,unclassified,hard
pcgnn_016.txt,True,True,True,0.2193877551020408,0.25,153,1.0,26,0.9285714285714286,0.026143790849673203,0.6797385620915033,0.9629629629629629,0.8235294117647058,0.5195744964652528,medium,unclassified,hard
pcgnn_017.txt,True,True,True,0.28061224489795916,0.3194444444444444,141,0.9361702127659575,25,0.8928571428571429,0.02127659574468085,0.6028368794326241,0.9615384615384616,0.75177304964539,0.5137049500651325,medium,unclassified,hard
pcgnn_018.txt,True,True,True,0.37755102040816324,0.3958333333333333,122,1.0,36,1.2857142857142858,0.10655737704918032,0.3114754098360656,0.9459459459459459,0.6967213114754098,0.5890849782535965,medium,unclassified,hard
pcgnn_019.txt,True,True,True,0.2653061224489796,0.2777777777777778,144,0.9861111111111112,25,0.8928571428571429,0.04861111111111111,0.6041666666666666,0.9615384615384616,0.8055555555555556,0.5226473922902495,medium,unclassified,hard
pcgnn_020.txt,True,True,True,0.37244897959183676,0.3680555555555556,123,0.983739837398374,32,1.1428571428571428,0.08943089430894309,0.36585365853658536,0.9393939393939394,0.7154471544715447,0.5869379459100713,medium,unclassified,hard
pcgnn_021.txt,True,True,True,0.3826530612244898,0.4166666666666667,121,0.9752066115702479,34,1.2142857142857142,0.0743801652892562,0.2975206611570248,0.9714285714285714,0.6859504132231405,0.5825645134086692,medium,unclassified,hard
pcgnn_022.txt,True,True,True,0.4030612244897959,0.4305555555555556,117,0.6068376068376068,29,1.0357142857142858,0.06837606837606838,0.2222222222222222,0.9333333333333333,0.3504273504273504,0.537157683586255,medium,unclassified,hard
pcgnn_023.txt,True,True,True,0.2653061224489796,0.2708333333333333,144,0.9861111111111112,30,1.0714285714285714,0.05555555555555555,0.6041666666666666,0.9354838709677419,0.7708333333333334,0.556327947845805,medium,unclassified,hard
